date,temperature(℃),rainfall(mm),daylight hours(h),wind speed(m/s),vapor pressure(hPa),地名
2022/1/1,5,0.5,40.4,3.1,5.1,大阪
2022/1/8,5.7,0,39.4,1.9,5.4,大阪
2022/1/15,5.8,7.5,37.9,2.3,5.5,大阪
2022/1/22,5,0,40.5,2.4,5.1,大阪
2022/1/29,6,12.5,31.3,2,6.2,大阪
2022/2/5,5.7,0,38.4,2.7,4.9,大阪
2022/2/12,5.7,0,42.5,2,5.3,大阪
2022/2/19,5.2,16,32.1,2.5,5.4,大阪
2022/2/26,4.8,0.5,49.3,2.4,4.7,大阪
2022/3/5,8.9,14.5,45.9,2.1,6.7,大阪
2022/3/12,9.4,0,58.6,2,6.6,大阪
2022/3/19,14.3,50.5,41,2.9,10.6,大阪
2022/3/26,10.6,32,38.8,2.2,8.5,大阪
2022/4/2,12.4,10.5,42.6,2.7,8.4,大阪
2022/4/9,14.7,2,66,2.5,9,大阪
2022/4/16,18.3,13.5,46.3,2.7,14.2,大阪
2022/4/23,17.7,8.5,57,2.2,11.7,大阪
2022/4/30,18.6,89,30.7,2.7,15.8,大阪
2022/5/7,17.7,5,67.2,2.1,11.7,大阪
2022/5/14,18.6,40,25.5,2.5,15,大阪
2022/5/21,19.7,0,25.3,1.7,12.3,大阪
2022/5/28,22.7,23.5,75,2.4,16.3,大阪
2022/6/4,22.8,11.5,61.5,2.3,15.2,大阪
2022/6/11,21.7,25,45.8,2.5,17.9,大阪
2022/6/18,22.8,15,30.7,2.6,19.7,大阪
2022/6/25,26.6,61,41.8,2.5,26,大阪
2022/7/2,29.1,0,80.6,2.4,26.9,大阪
2022/7/9,27.7,76,30.4,2,28.7,大阪
2022/7/16,27,57.5,18.5,1.9,27.6,大阪
2022/7/23,28,33.5,40.6,2.6,26.2,大阪
2022/7/30,29.9,7,63.5,2.2,27.7,大阪
2022/8/6,30.1,23.5,63.3,2.3,29.2,大阪
2022/8/13,30.8,0.5,66.4,2.4,29.7,大阪
2022/8/20,29.4,21.5,40,2.7,29.1,大阪
2022/8/27,29,21.5,29.1,2.2,28.1,大阪
2022/9/3,27.3,66,39.8,2.5,26.7,大阪
2022/9/10,27.3,48,35.3,3,26.3,大阪
2022/9/17,28.7,3.5,65.3,3.5,25.4,大阪
2022/9/24,24.5,51,24.4,3.7,21.8,大阪
2022/10/1,23.9,18.5,51.4,2.3,19.3,大阪
2022/10/8,21.6,35.5,28.4,2.6,17.1,大阪
2022/10/15,19.2,44.5,38.4,2.6,15.2,大阪
2022/10/22,19.2,6,50.7,2,14.9,大阪
2022/10/29,16.3,6.5,55.4,2.3,11,大阪
2022/11/5,16.2,5.5,54.4,2.3,12.7,大阪
2022/11/12,15.8,0,64.2,1.6,11.2,大阪
2022/11/19,14.1,23.5,42.3,1.7,10.5,大阪
2022/11/26,14.7,27,25.9,2,12.2,大阪
2022/12/3,12.3,25.5,33.9,1.9,9.9,大阪
2022/12/10,10.6,0.5,39.4,1.7,7.4,大阪
2022/12/17,8.7,9,36.8,2.4,6.6,大阪
2022/12/24,5,7.5,39.4,3.2,5,大阪
2022/12/31,7,1,46,1.9,5.9,大阪
2013/1/1,5.9,43.5,31.8,3.9,6.3,和歌山
2013/1/8,4.8,0,44,3.8,5.2,和歌山
2013/1/15,5.6,25,32.8,4.5,5.5,和歌山
2013/1/22,5.6,13.5,29.5,3.8,5.9,和歌山
2013/1/29,5,0.5,34.8,4.8,5.1,和歌山
2013/2/5,9.4,13,37,4.1,8,和歌山
2013/2/12,4.7,23.5,35.3,3.9,5.3,和歌山
2013/2/19,5.3,48.5,25,3.9,6.2,和歌山
2013/2/26,5,9.5,45.6,3.8,4.8,和歌山
2013/3/5,7.7,22,46.9,3.9,6.7,和歌山
2013/3/12,11.8,2,61.1,3.9,7.8,和歌山
2013/3/19,12.9,69,51.8,5.4,9.5,和歌山
2013/3/26,10.7,12,39.5,3.8,7.8,和歌山
2013/4/2,12.6,8,19.5,3.1,9.2,和歌山
2013/4/9,14.3,24,42.6,4.4,10.1,和歌山
2013/4/16,13.5,0,56.8,4.2,8.4,和歌山
2013/4/23,13.5,24.5,53.4,4.6,9.6,和歌山
2013/4/30,16.4,10.5,55.4,4.3,11.1,和歌山
2013/5/7,15,0,72.8,4,9.4,和歌山
2013/5/14,18.7,11,60.2,3.5,13.9,和歌山
2013/5/21,20.6,8.5,59.9,4,15.7,和歌山
2013/5/28,22.8,0.5,58.6,3.8,14.8,和歌山
2013/6/4,21.9,9,30.4,3.5,18.9,和歌山
2013/6/11,23,0,36.4,3.1,18.7,和歌山
2013/6/18,26.9,12,60.2,3.4,24.2,和歌山
2013/6/25,22.4,134,9.9,3.2,22.8,和歌山
2013/7/2,24,64,27.8,3.3,22.8,和歌山
2013/7/9,27.8,31.5,49.7,5.9,28.9,和歌山
2013/7/16,28.6,4,60.2,3.3,28,和歌山
2013/7/23,28.2,0,60.1,3.3,25.7,和歌山
2013/7/30,28.6,14,34.6,2.7,28.8,和歌山
2013/8/6,29.4,13,54.8,3,28.9,和歌山
2013/8/13,31.4,0,75.8,2.6,28.3,和歌山
2013/8/20,29.8,0,81.8,4.1,28,和歌山
2013/8/27,27.4,33.5,39.4,3.1,28.3,和歌山
2013/9/3,27,39.5,29.7,4.6,27.6,和歌山
2013/9/10,24.8,53,33.9,3,22.8,和歌山
2013/9/17,25.8,261.5,51.2,4.1,24.2,和歌山
2013/9/24,24.8,0,75.8,3,19.4,和歌山
2013/10/1,23.2,0,66.4,4.1,16.4,和歌山
2013/10/8,24.2,2.5,40.3,2.9,20.1,和歌山
2013/10/15,23.3,81.5,55.1,4.7,19.4,和歌山
2013/10/22,17.9,75.5,21.3,3.8,15,和歌山
2013/10/29,17.5,96,20.4,3.3,15.1,和歌山
2013/11/5,16.8,17,43.4,3,13.5,和歌山
2013/11/12,15.4,5.5,22.5,3.8,12,和歌山
2013/11/19,12.1,11,43.4,4.2,9.1,和歌山
2013/11/26,12,16,40.3,4.8,8,和歌山
2013/12/3,9.4,0,39.6,4.1,7.2,和歌山
2013/12/10,10,30,39.3,4.1,7.7,和歌山
2013/12/17,7.5,1,18.5,5.2,5.7,和歌山
2013/12/24,7.1,20.5,18.8,4.8,6.6,和歌山
2013/12/31,5.9,18.5,30,4,6,和歌山
2014/1/1,6.2,18.5,29.4,4.1,6.2,和歌山
2014/1/8,6.5,32.5,42.3,3.8,6.1,和歌山
2014/1/15,4.9,2,35,3.9,5.2,和歌山
2014/1/22,4.9,2,38.4,4,5.4,和歌山
2014/1/29,6.9,5.5,47.9,3.7,6.5,和歌山
2014/2/5,9.1,14.5,30.3,3.6,8.7,和歌山
2014/2/12,3.5,16.5,16.4,5,4.9,和歌山
2014/2/19,4.6,16,17.9,5.5,5.2,和歌山
2014/2/26,5.9,0,58.4,3.6,5,和歌山
2014/3/5,9.5,60.5,22.8,3.6,8.6,和歌山
2014/3/12,6.2,0.5,59.3,4,5.1,和歌山
2014/3/19,11.5,36.5,43.5,4.7,8.9,和歌山
2014/3/26,11.3,35.5,38.4,3.6,9.2,和歌山
2014/4/2,14.7,48.5,47.2,4.5,10.5,和歌山
2014/4/9,11.6,22.5,53.2,3.6,8.6,和歌山
2014/4/16,13.9,0,50.4,3.3,7.5,和歌山
2014/4/23,15.2,11,32.5,3.3,10.8,和歌山
2014/4/30,17.1,43,52.1,3.9,12.6,和歌山
2014/5/7,17.8,3,67.6,3.5,11.7,和歌山
2014/5/14,19.3,26.5,60.6,4.9,13.1,和歌山
2014/5/21,19.3,28,50.7,3.3,13.9,和歌山
2014/5/28,20.4,14,59.6,4.2,15.9,和歌山
2014/6/4,23.5,1.5,53.7,3.3,18.9,和歌山
2014/6/11,23.4,16.5,28.9,3,21.8,和歌山
2014/6/18,22.6,3.5,33.1,2.9,19,和歌山
2014/6/25,23.5,39.5,50.8,3.2,21.2,和歌山
2014/7/2,24.9,10,44.3,3.2,22.2,和歌山
2014/7/9,25.2,46,12.9,3.2,25.9,和歌山
2014/7/16,27.7,35.5,40.9,4.2,26.6,和歌山
2014/7/23,27.9,22.5,59.9,3.2,27.4,和歌山
2014/7/30,29.3,0,74.8,3.5,26.8,和歌山
2014/8/6,27.7,160,27.2,4.8,28.9,和歌山
2014/8/13,26.9,244,28.8,4.3,28,和歌山
2014/8/20,29.4,10.5,61.7,5.7,29.9,和歌山
2014/8/27,28.3,22.5,40.5,3.7,28.2,和歌山
2014/9/3,25.1,13.5,24.9,2.8,23.6,和歌山
2014/9/10,25.8,58,42.5,3.1,24.7,和歌山
2014/9/17,24,5,62,3.4,18,和歌山
2014/9/24,22.1,10,33.4,3.6,15.9,和歌山
2014/10/1,23.9,15,56.6,4,18.4,和歌山
2014/10/8,22.4,30.5,31.7,4.9,17.4,和歌山
2014/10/15,20.7,36.5,24,3.9,16.9,和歌山
2014/10/22,18.6,25.5,47.9,3.4,14.4,和歌山
2014/10/29,17.1,9.5,58.9,4,12.3,和歌山
2014/11/5,16.7,13.5,24.2,3.5,13.5,和歌山
2014/11/12,15.9,14,36.5,3.8,12.1,和歌山
2014/11/19,11.2,0,30.1,4.2,7.7,和歌山
2014/11/26,13.3,31.5,42.4,3.5,10.1,和歌山
2014/12/3,13.1,28,30.6,4.9,10.6,和歌山
2014/12/10,7.6,14,31.1,4.7,6.5,和歌山
2014/12/17,6.8,23.5,14.2,5.8,6.1,和歌山
2014/12/24,6.1,37.5,28.9,4.3,5.8,和歌山
2014/12/31,7.3,13.5,36.1,4,6.5,和歌山
2015/1/1,6.6,13.5,37,4.6,6.1,和歌山
2015/1/8,6.5,8.5,28.4,4.5,6.3,和歌山
2015/1/15,6.5,25,16.4,4.2,6,和歌山
2015/1/22,7.2,10.5,27.9,3.7,6.5,和歌山
2015/1/29,6.9,42.5,30.7,3.9,6.8,和歌山
2015/2/5,5.4,9,24.4,4.2,5.5,和歌山
2015/2/12,5.9,0,43.1,4.8,5.2,和歌山
2015/2/19,6.8,2.5,35.7,4.2,5.7,和歌山
2015/2/26,9.5,24.5,24.2,3.5,8.3,和歌山
2015/3/5,7.7,40,39.5,4.5,6.5,和歌山
2015/3/12,7.5,46,19.3,4.5,6.6,和歌山
2015/3/19,11.5,83.5,27,3.4,11,和歌山
2015/3/26,10.5,0,54.5,3.9,6.7,和歌山
2015/4/2,14.3,12,51.5,3.7,11,和歌山
2015/4/9,15.1,26,8.4,4.3,14.3,和歌山
2015/4/16,13.9,51,23.9,3.3,11.6,和歌山
2015/4/23,17,22.5,42.5,4.6,12.1,和歌山
2015/4/30,18.9,0,57.5,3.8,13.4,和歌山
2015/5/7,20.1,0,49.3,3.8,15.3,和歌山
2015/5/14,19.5,51,52.4,4.1,14.3,和歌山
2015/5/21,21.4,25.5,55.2,3.8,17,和歌山
2015/5/28,22.1,0,61.1,3.4,15.8,和歌山
2015/6/4,23.4,26,52.3,3.8,18.5,和歌山
2015/6/11,20.6,47.5,24.6,3,18.6,和歌山
2015/6/18,23.3,29.5,32.2,2.7,22.9,和歌山
2015/6/25,23.7,1.5,32.4,3,22.5,和歌山
2015/7/2,23.5,58.5,28.2,3.8,22.3,和歌山
2015/7/9,23.1,89,3,1.9,25.4,和歌山
2015/7/16,27.7,33.5,48.3,5,28.4,和歌山
2015/7/23,26.6,226,31.2,5.7,27.9,和歌山
2015/7/30,29.1,0,66.1,3.9,29,和歌山
2015/8/6,30,0,76.4,3.1,30.9,和歌山
2015/8/13,29.5,13.5,57.5,3.1,29.5,和歌山
2015/8/20,26.9,76,25.2,2.7,27.7,和歌山
2015/8/27,27.9,13.5,45.7,4,25.9,和歌山
2015/9/3,25.9,106.5,24,2.9,27.1,和歌山
2015/9/10,23.7,48,17.3,2.8,24.2,和歌山
2015/9/17,22.8,15.5,45.4,3.2,19.1,和歌山
2015/9/24,23,7.5,55.8,3.1,19.1,和歌山
2015/10/1,22.9,13,37.6,3.8,19,和歌山
2015/10/8,20,10.5,55.2,3.8,13.9,和歌山
2015/10/15,19.1,0.5,40.3,3.4,13.3,和歌山
2015/10/22,19.7,0,72.1,3.3,14.4,和歌山
2015/10/29,17.7,20.5,67.2,4.2,12.3,和歌山
2015/11/5,15,16,42.8,3.1,11.3,和歌山
2015/11/12,17.8,31,19.3,3.3,15.5,和歌山
2015/11/19,17.2,83,14.6,2.9,16.5,和歌山
2015/11/26,13.9,9,16.2,3.1,12.2,和歌山
2015/12/3,10.7,16,35.6,4,8.8,和歌山
2015/12/10,10.8,9,32.3,3.9,8.1,和歌山
2015/12/17,12.6,30.5,20.1,4.5,10.8,和歌山
2015/12/24,9.2,25.5,29.1,3.2,7.4,和歌山
2015/12/31,8.4,1,41.5,3.9,6.5,和歌山
2016/1/1,7.9,0,48,3.8,6.1,和歌山
2016/1/8,9.7,0,21.3,3.1,8.1,和歌山
2016/1/15,6.8,0.5,33.9,3.1,5.8,和歌山
2016/1/22,5.8,11.5,31.1,5.3,5.8,和歌山
2016/1/29,5.2,58,22.9,4.3,5.8,和歌山
2016/2/5,6.7,5.5,43,3.4,6.1,和歌山
2016/2/12,6.9,0.5,50.6,4.2,5.4,和歌山
2016/2/19,9.8,91.5,33.9,5.3,8.4,和歌山
2016/2/26,6.9,43.5,31.4,3.8,6,和歌山
2016/3/4,8.3,0,50.9,4,6.4,和歌山
2016/3/11,13.1,36.5,37.3,4.6,10.2,和歌山
2016/3/18,9.7,32.5,44.1,4,7.4,和歌山
2016/3/25,11,3.5,56.1,4.8,7.1,和歌山
2016/4/1,12.2,14.5,44.2,3.1,8.9,和歌山
2016/4/8,16.4,48.5,29.3,3.8,13.6,和歌山
2016/4/15,15.5,24.5,48.4,4,11.3,和歌山
2016/4/22,17.5,33.5,55.4,4.7,12.6,和歌山
2016/4/29,17.4,34.5,33.3,3.1,14,和歌山
2016/5/6,19.5,13,60,5,12.9,和歌山
2016/5/13,19.5,87.5,41,3.6,16,和歌山
2016/5/20,20.5,32.5,68.6,4.3,15.2,和歌山
2016/5/27,22.9,10,55.6,3.5,17.7,和歌山
2016/6/3,21.2,18.5,50.5,3.6,16.8,和歌山
2016/6/10,22.2,16,36.4,3,19.8,和歌山
2016/6/17,24.3,41,32.1,3.2,22.9,和歌山
2016/6/24,24.8,124,26,3.3,24.7,和歌山
2016/7/1,23.7,55,30.6,2.8,24.1,和歌山
2016/7/8,28.5,3.5,69.4,4.4,29,和歌山
2016/7/15,27.2,62,27.9,3.3,28.9,和歌山
2016/7/22,28.3,0,70.7,3.1,24.9,和歌山
2016/7/29,27.5,3.5,52.4,3.7,26.6,和歌山
2016/8/5,29.2,0,74.8,3.3,27.8,和歌山
2016/8/12,29.3,0.5,79.7,3.4,25.8,和歌山
2016/8/19,30,0,67.1,3.5,29.9,和歌山
2016/8/26,30,3,69.6,3.7,28.5,和歌山
2016/9/2,26.7,60.5,52.3,4.4,22.4,和歌山
2016/9/9,26.9,25.5,31.2,3,27,和歌山
2016/9/16,25.8,32.5,29.6,2.9,25.2,和歌山
2016/9/23,24.4,173,11.7,3.5,25.7,和歌山
2016/9/30,24.9,35.5,22,2.7,25.8,和歌山
2016/10/7,24.6,11,30.5,3.3,23.7,和歌山
2016/10/14,20,26.5,30.2,4.3,15.7,和歌山
2016/10/21,21.4,26,35.2,3.1,17.5,和歌山
2016/10/28,18.2,25.5,28.6,3.6,15.2,和歌山
2016/11/4,14.7,11,48,4,10.5,和歌山
2016/11/11,12.6,21.5,38.5,4.1,10.3,和歌山
2016/11/18,14.6,2.5,46.3,3.5,11.9,和歌山
2016/11/25,14.5,19,16,3.1,13.2,和歌山
2016/12/2,11.7,36.5,26.1,3.5,9.6,和歌山
2016/12/9,11,7.5,33.3,3.3,9.3,和歌山
2016/12/16,7.8,47.5,24.2,4.2,7.3,和歌山
2016/12/23,10.9,18,31.2,4.2,9.4,和歌山
2016/12/30,8.5,19.5,24.7,4.6,7.4,和歌山
2017/1/1,7.8,19.5,25.7,4.4,7.4,和歌山
2017/1/8,7.8,30,39.8,3.8,6.9,和歌山
2017/1/15,7.1,0,33.8,6.1,5.7,和歌山
2017/1/22,5.7,0.5,36.1,4.6,5.5,和歌山
2017/1/29,5.2,3.5,38,3.4,6,和歌山
2017/2/5,7,12.5,29.2,4.1,6.6,和歌山
2017/2/12,5.1,13,30,5.7,5.3,和歌山
2017/2/19,7.4,0.5,43.5,3.6,7,和歌山
2017/2/26,8.2,10,40.3,5.1,7.1,和歌山
2017/3/5,8.3,1.5,47.6,3.6,6.8,和歌山
2017/3/12,7.9,0,48.8,4,5.9,和歌山
2017/3/19,9,4,49.7,3.9,6.5,和歌山
2017/3/26,9.6,16,30.6,3.4,6.8,和歌山
2017/4/2,10.2,14.5,43.6,3.3,8,和歌山
2017/4/9,16.2,22.5,31.9,4.8,13.2,和歌山
2017/4/16,15.3,6.5,48.3,3.8,11.6,和歌山
2017/4/23,16.6,24.5,44.8,4.5,11.2,和歌山
2017/4/30,16.8,8.5,60.3,3.8,11.3,和歌山
2017/5/7,19.5,0,57.3,3.5,13.1,和歌山
2017/5/14,19.8,46,45.5,3.1,15.6,和歌山
2017/5/21,20.3,0,64.5,3,13.2,和歌山
2017/5/28,21.2,16.5,58.3,3.1,17,和歌山
2017/6/4,22,4,74.1,3.8,16,和歌山
2017/6/11,21.6,22.5,48.5,3.3,15.7,和歌山
2017/6/18,22,0,76.1,3.2,14.6,和歌山
2017/6/25,23.7,41,32.7,3.4,21.2,和歌山
2017/7/2,25.1,47,23.5,3.2,25.9,和歌山
2017/7/9,26.7,33,36.2,3.1,28.2,和歌山
2017/7/16,28.5,0,64.4,3.6,29,和歌山
2017/7/23,28.8,0,47.2,3.4,28.3,和歌山
2017/7/30,29.6,30,44.8,3.6,30.2,和歌山
2017/8/6,30,10,60.8,3.4,29.2,和歌山
2017/8/13,29,153,53.7,4.2,28.9,和歌山
2017/8/20,28.6,9.5,46.6,2.8,28.9,和歌山
2017/8/27,29.6,5.5,60.5,3.1,28.1,和歌山
2017/9/3,27.2,0,62.3,4.3,22.1,和歌山
2017/9/10,25.7,10.5,32.7,2.8,22.2,和歌山
2017/9/17,24.5,56,21.4,4,21.7,和歌山
2017/9/24,23.2,3,30.8,2.9,20.1,和歌山
2017/10/1,22.2,20.5,51.6,3.1,18.2,和歌山
2017/10/8,21,37,19.7,3.3,18.2,和歌山
2017/10/15,21.6,25.5,32.4,2.8,20,和歌山
2017/10/22,16.4,417,2.3,3.9,16.6,和歌山
2017/10/29,16.8,95,30.6,4.1,13.9,和歌山
2017/11/5,14.7,0,55.2,4.1,10.4,和歌山
2017/11/12,15.3,8,44.4,4,11.9,和歌山
2017/11/19,11.3,27,28.6,3.9,9.2,和歌山
2017/11/26,9.6,21,25,3.7,7.9,和歌山
2017/12/3,11.8,0.5,43.5,3.3,9.7,和歌山
2017/12/10,7.5,8.5,26.3,4.2,6.7,和歌山
2017/12/17,6.4,0,33.2,5.3,5.4,和歌山
2017/12/24,6.5,25.5,41.4,3.2,6.3,和歌山
2017/12/31,7.2,0.5,23,5,5.8,和歌山
2018/1/1,6.9,0,30,4.8,5.5,和歌山
2018/1/8,5.8,19.5,25.8,4,6.3,和歌山
2018/1/15,4.7,4.5,43.1,4.9,5.3,和歌山
2018/1/22,8.8,55,43.1,3.2,8.4,和歌山
2018/1/29,2.7,0,23.6,5.4,4.4,和歌山
2018/2/5,3.5,3.5,37.7,4.1,5,和歌山
2018/2/12,3.3,24.5,42.1,4.6,4.7,和歌山
2018/2/19,5.7,2,38.3,3.5,5.4,和歌山
2018/2/26,7.3,4,49.4,2.9,5.9,和歌山
2018/3/5,11.7,45.5,49.3,4.9,9.1,和歌山
2018/3/12,8.3,31.5,46.8,4.4,6.8,和歌山
2018/3/19,12.6,30,47.4,4,10.3,和歌山
2018/3/26,10.5,43.5,48.6,3.8,8.5,和歌山
2018/4/2,15.5,0,72.2,3.6,10,和歌山
2018/4/9,14.7,13.5,44.5,4.5,11.2,和歌山
2018/4/16,16.6,59.5,52.1,5.9,10.7,和歌山
2018/4/23,18,4.5,68.2,3.6,12,和歌山
2018/4/30,18,77,38,4.1,13.5,和歌山
2018/5/7,19.1,57.5,44.3,4.6,14.7,和歌山
2018/5/14,17.8,114.5,52.3,4.3,14.2,和歌山
2018/5/21,20.8,3.5,51.6,4.4,17.1,和歌山
2018/5/28,20.8,6,46,2.9,16.4,和歌山
2018/6/4,21.2,42.5,51.1,3.3,19.2,和歌山
2018/6/11,22.3,38,19.1,3.1,22.3,和歌山
2018/6/18,21.8,3,46.2,3.5,18.1,和歌山
2018/6/25,23.1,130,34.2,2.7,22.8,和歌山
2018/7/2,28.1,9,56.7,6.6,27.8,和歌山
2018/7/9,26.7,412.5,17.4,7,27.9,和歌山
2018/7/16,28.8,0,73.9,2.9,29.2,和歌山
2018/7/23,30,0,86.1,3.5,30.7,和歌山
2018/7/30,29.4,37.5,54,3.8,27.7,和歌山
2018/8/6,30.2,0,85.9,3.3,28.7,和歌山
2018/8/13,29.1,0,55,3.8,27.8,和歌山
2018/8/20,27.3,11.5,60.1,3.9,24.4,和歌山
2018/8/27,29.6,84.5,60.8,5.6,28.9,和歌山
2018/9/3,27.7,11.5,57,3.3,29,和歌山
2018/9/10,25.6,262.5,17.8,5.2,26,和歌山
2018/9/17,25.1,12.5,25.8,2.4,24.6,和歌山
2018/9/24,24.4,30.5,38.1,2.9,21.9,和歌山
2018/10/1,21.1,143,24.4,4,18.9,和歌山
2018/10/8,23.1,22,44.4,3.3,20,和歌山
2018/10/15,19.7,3,34.6,2.9,16,和歌山
2018/10/22,18,1,50.3,3.1,13.5,和歌山
2018/10/29,17.5,6,39.5,3.6,13.5,和歌山
2018/11/5,15.6,0,52.3,3.2,10.9,和歌山
2018/11/12,17.5,16,45.4,3.3,13.9,和歌山
2018/11/19,14.4,3.5,28.3,3.4,11,和歌山
2018/11/26,11.3,0.5,36.7,3.4,8.9,和歌山
2018/12/3,13.3,7.5,31.3,2.9,11,和歌山
2018/12/10,11.6,7,14.8,4.4,9.9,和歌山
2018/12/17,8.2,43,23.9,3.6,7.4,和歌山
2018/12/24,10.8,12.5,26,3.4,9.3,和歌山
2018/12/31,6.5,0.5,25,4.7,6,和歌山
2019/1/1,6.3,0.5,22.3,4.7,5.9,和歌山
2019/1/8,7.1,0,34.6,3.5,6.3,和歌山
2019/1/15,6.3,2,27.6,3.7,6.2,和歌山
2019/1/22,7.3,1,34,3.6,6.3,和歌山
2019/1/29,6.1,0,34,4.5,5.5,和歌山
2019/2/5,7.8,18,43.9,3.7,7.3,和歌山
2019/2/12,6.8,22,23.6,3.7,6.8,和歌山
2019/2/19,7.2,13,30.6,3.3,6.7,和歌山
2019/2/26,9.9,0,47.6,3.9,6.9,和歌山
2019/3/5,10,40,26.6,3.1,7.8,和歌山
2019/3/12,10.5,32.5,35.2,4.3,8.4,和歌山
2019/3/19,8.7,14,43.3,3.8,6.9,和歌山
2019/3/26,11.9,0.5,43.8,4.4,9,和歌山
2019/4/2,12,8.5,46,4.6,8,和歌山
2019/4/9,13.2,12,76.3,3.6,7.8,和歌山
2019/4/16,12.6,28.5,49.8,4.1,8.3,和歌山
2019/4/23,17.8,0,57.3,3.3,13,和歌山
2019/4/30,16.8,38.5,21.7,3.5,13.9,和歌山
2019/5/7,18.1,11.5,65.1,3.5,12.5,和歌山
2019/5/14,18.8,5.5,61.8,3.4,12.9,和歌山
2019/5/21,20.8,98,51.3,3.1,15.9,和歌山
2019/5/28,22.5,30.5,68,3.9,15.4,和歌山
2019/6/4,21.5,3,46.2,3.2,17,和歌山
2019/6/11,23.1,112.5,38.9,3.6,20.4,和歌山
2019/6/18,22.2,32,52.8,3.6,18,和歌山
2019/6/25,24.3,1.5,69.9,3.5,20,和歌山
2019/7/2,25.5,105,11.2,4.2,26.8,和歌山
2019/7/9,25.2,47.5,30,3.1,24.3,和歌山
2019/7/16,25,46.5,17.6,2.5,25.2,和歌山
2019/7/23,26.8,90.5,15.9,3.7,28.7,和歌山
2019/7/30,28.5,107.5,59.1,3.5,29.2,和歌山
2019/8/6,30,0,65,3.3,30,和歌山
2019/8/13,29.6,0,67.1,3.6,29.7,和歌山
2019/8/20,28.6,245.5,38.5,4.8,30.4,和歌山
2019/8/27,27,31,33.2,3.4,26.9,和歌山
2019/9/3,26.9,49.5,36.6,4.6,28.5,和歌山
2019/9/10,28.9,0,72.2,3.3,28.3,和歌山
2019/9/17,26.8,18,62.5,3.7,24.1,和歌山
2019/9/24,24.2,14.5,29.4,4.2,20.8,和歌山
2019/10/1,25.5,0,44.5,2.5,23.2,和歌山
2019/10/8,23.8,21.5,37.7,3.5,20.2,和歌山
2019/10/15,20.9,68,27.8,5.1,16.8,和歌山
2019/10/22,19.9,54,25.7,3.2,17.6,和歌山
2019/10/29,18.5,93.5,22.3,2.6,16.7,和歌山
2019/11/5,16.3,0,58,3.4,12.5,和歌山
2019/11/12,15,0,59.4,3.9,10.2,和歌山
2019/11/19,14.5,11,54.5,4.4,10.8,和歌山
2019/11/26,13.4,0.5,25.4,3.5,11.2,和歌山
2019/12/3,10.8,45,32.4,4.2,8.6,和歌山
2019/12/10,8.8,0,32.6,3.5,7.2,和歌山
2019/12/17,9.8,1,35.9,3.4,8.4,和歌山
2019/12/24,9.5,19.5,19.9,3.1,8.6,和歌山
2019/12/31,9.5,31,26.9,3.7,9,和歌山
2020/1/1,9,31,21.6,3.7,8.5,和歌山
2020/1/8,8.8,26,35.5,4.4,7.6,和歌山
2020/1/15,8.6,5.5,37,3.5,7.1,和歌山
2020/1/22,7.3,4.5,29.3,3.4,6.8,和歌山
2020/1/29,10,42.5,10,3.6,9.5,和歌山
2020/2/5,7.2,0,41,4.1,5.8,和歌山
2020/2/12,5.9,2.5,32.7,4.4,5.5,和歌山
2020/2/19,10.1,25.5,19.2,4.7,9.2,和歌山
2020/2/26,10,18,38,3.7,7.9,和歌山
2020/3/4,9.2,38,29.8,3.6,7.9,和歌山
2020/3/11,10.7,20.5,39.4,4,8.7,和歌山
2020/3/18,9.5,17,49.6,3.5,7.3,和歌山
2020/3/25,12.6,0.5,65.5,4,7.9,和歌山
2020/4/1,13.4,58.5,13.9,4.2,12.2,和歌山
2020/4/8,12.3,0,58.7,3.9,8.2,和歌山
2020/4/15,11.8,40.5,47.8,4.4,7.9,和歌山
2020/4/22,15.5,29.5,45.4,4.3,10.4,和歌山
2020/4/29,14.8,0,73.3,3.9,8.8,和歌山
2020/5/6,19.9,0.5,54.7,2.5,16.1,和歌山
2020/5/13,20,10,61.4,3.3,14.7,和歌山
2020/5/20,20.3,86.5,38.3,2.6,16.1,和歌山
2020/5/27,20.9,9.5,47.5,2.1,17.7,和歌山
2020/6/3,22.3,7,58.3,2.1,16.8,和歌山
2020/6/10,24.4,1,57,2.6,20.4,和歌山
2020/6/17,25.4,34,29.3,2.6,24.9,和歌山
2020/6/24,23.3,107.5,47.3,2.2,20.1,和歌山
2020/7/1,26.2,69.5,31.4,3.8,25.5,和歌山
2020/7/8,25.1,211.5,13.8,6.3,26.5,和歌山
2020/7/15,25.4,118,5.4,5,26.3,和歌山
2020/7/22,26.5,14.5,40.1,2.5,27,和歌山
2020/7/29,27,94,16.1,3.9,28.9,和歌山
2020/8/5,28.5,0,58.8,2.7,28.4,和歌山
2020/8/12,30,1.5,67.7,5.1,30.4,和歌山
2020/8/19,31.5,0,87.5,2.9,28.9,和歌山
2020/8/26,29.7,10.5,77,3.5,29.8,和歌山
2020/9/2,29.6,9,62.6,3.2,30.7,和歌山
2020/9/9,27.8,59.5,33.3,4.9,27.6,和歌山
2020/9/16,25.2,23,30.7,3.1,24.6,和歌山
2020/9/23,24.4,14.5,31.2,4.1,21.3,和歌山
2020/9/30,22.6,48.5,27.9,3.3,20.1,和歌山
2020/10/7,21.6,7,46.1,3.5,17,和歌山
